customer_id,customer_name,age,income,loan_amount,loan_purpose,approved,region,loan_to_income_ratio
1055,samantha moore,39,71841,68025,car,yes,east,0.9468826992942748
1056,david burns,35,117584,20151,business,no,east,0.1713753571914546
1057,bruce cummings,36,68335,35315,education,no,east,0.5167922733591863
1058,thomas lane,43,80155,34104,car,no,east,0.42547564094566775
1059,bobby lang,60,123314,33298,car,yes,east,0.2700261122013721
1060,craig rodriguez,57,106147,38953,education,yes,east,0.3669722177734651
1061,connor gallegos,21,54527,61364,vacation,yes,east,1.1253874227446954
1062,jeremiah yang,39,120466,59581,car,yes,east,0.49458768449188983
1063,aaron paul,57,73775,63837,vacation,no,east,0.8652931209759404
1064,angela walker,55,133085,20461,medical,no,east,0.15374384791674495
1065,janet sparks,50,75653,47219,education,no,east,0.6241523799452765
1066,curtis davis,37,49704,16501,vacation,yes,east,0.3319853532914856
1067,stacey day,59,131209,14070,business,no,east,0.10723349770213933
1068,jeremy parker,46,126907,4626,medical,yes,east,0.0364518899666685
1069,tyler berry,33,143883,67569,business,yes,east,0.46961072538103876
1070,rachel figueroa,42,58057,42414,vacation,yes,east,0.7305578999948327
1071,valerie roberson,43,128992,31860,education,no,east,0.24699206152319525
1072,sherri alvarez,64,32393,33460,home,yes,east,1.0329392152625567
1073,bruce rivas,63,100404,62970,car,yes,east,0.6271662483566391
1074,keith smith,53,136740,57584,medical,yes,east,0.42112037443323097
1075,mrs. tara smith md,47,65373,67286,education,yes,east,1.0292628455172625
1076,cassandra campbell,55,116956,73309,car,yes,east,0.6268083723793564
1077,dennis underwood,32,135131,40812,vacation,no,east,0.30201804175207764
1078,steve scott,29,109613,48977,home,yes,east,0.44681743953728115
1079,melissa anderson,54,84171,45088,business,yes,east,0.5356714307778213
1080,brian archer,34,54336,14630,education,yes,east,0.2692505889281508
1081,phyllis page,57,83714,45075,education,yes,east,0.5384404042334615
1082,kristi collins,23,37985,65244,vacation,no,east,1.7176253784388575
1083,cory smith,64,37014,13100,home,yes,east,0.3539201383260388
1084,matthew prince,64,33374,68242,business,no,east,2.044765386228801
1085,leslie long,41,140038,32103,education,yes,east,0.22924491923620732
1086,deanna cooper,27,110506,37096,vacation,yes,east,0.3356921796101569
1087,tammy valencia,53,47299,72659,car,yes,east,1.536163555254868
1088,clifford mejia,55,116513,14807,vacation,no,east,0.12708453133985048
1089,audrey clements,31,52331,59723,home,no,east,1.1412547056238176
1090,jean rice,52,30584,37951,education,yes,east,1.2408775830499608
1091,jacob brown,42,37965,18427,vacation,no,east,0.4853681021993942
1092,michael young,62,109769,3153,business,no,east,0.028723956672648928
1093,robin lee,39,45819,57734,medical,no,east,1.260044959514612
1094,joshua perez,56,53782,66813,education,yes,east,1.2422929604700457
1095,william tucker,57,129708,69351,business,no,east,0.5346701822555278
1096,scott simpson,31,135463,4119,home,no,east,0.03040682695643829
1097,walter thompson,61,104035,63612,business,no,east,0.6114480703609362
1098,omar young,33,110847,40933,business,no,east,0.369274766119065
1099,jennifer wilson,48,113434,69745,home,no,east,0.6148509265299645
1100,jared salazar,35,85773,66810,medical,no,east,0.7789164422370676
1101,robert rodriguez,33,48824,33022,vacation,yes,east,0.6763476978535147
1102,rachel brooks,63,145504,30372,car,yes,east,0.20873652957994282
1103,rhonda jarvis,53,39110,30235,medical,no,east,0.7730759396573766
1104,lydia wood,28,72707,69573,car,no,east,0.9568954846163368
1105,scott oliver,52,113512,71869,car,yes,east,0.6331401085347804
1106,debra li,57,30825,31718,car,no,east,1.0289699918897
1107,scott horton iv,24,28488,76440,education,yes,east,2.683235046335299
1108,gary huerta,38,92431,18555,medical,no,east,0.20074433902045852
1109,clifford wilkerson,43,93444,75993,business,yes,east,0.8132464363683062
1110,tammy kaiser,49,91947,34488,education,yes,east,0.3750856471663023
1111,carol bauer,22,30457,21863,home,no,east,0.7178316971467972
1112,patrick miller,33,102110,25305,home,no,east,0.24782097737733816
1113,kristina stanton,36,133439,39374,car,no,east,0.2950711561087838
1114,rhonda booth,28,143687,8203,education,yes,east,0.057089367862089124
1115,rachel king,39,63216,64182,vacation,yes,east,1.015280941533789
1116,jeremy mcguire,52,118230,34767,vacation,yes,east,0.2940624207054047
1117,michele evans,23,33847,40772,education,yes,east,1.2045971577983279
1118,ashley clark,52,113212,58620,home,yes,east,0.5177896336077448
1119,mckenzie wright,61,66309,19699,business,no,east,0.2970788279117465
1120,brian mccoy,41,39658,35293,medical,yes,east,0.889933935145494
1121,megan cain,45,113928,25425,medical,yes,east,0.22316726353486413
1122,natalie mosley,37,42527,37282,car,no,east,0.8766665882850895
1123,christopher soto,45,54676,53882,car,no,east,0.9854780891067378
1124,christopher miller,53,41781,71721,car,yes,east,1.7165936669778128
1125,richard lee,51,25645,20622,home,yes,east,0.804133359329304
1126,christopher robinson,56,122476,8455,home,no,east,0.06903393317874522
1127,matthew flores,43,103236,38692,vacation,no,east,0.37479173931574256
1128,victoria ho,64,48990,9796,medical,yes,east,0.19995917534190652
1129,emma nichols,45,111052,61534,vacation,yes,east,0.5541007816158197
1130,edward archer,64,43618,25423,vacation,no,east,0.5828557017744967
1131,michael ochoa,50,86859,30007,car,no,east,0.3454679422972864
1132,danny daniels,33,101500,51121,vacation,no,east,0.5036551724137931
1133,deanna richards,63,83827,53261,education,yes,east,0.6353680794970594
1134,kevin brown,49,122389,30692,vacation,yes,east,0.25077417088137005
1135,natasha barnett,36,121726,50049,business,yes,east,0.41116113237927804
1136,rebecca short,58,149863,21721,home,no,east,0.14493904432715213
1137,evelyn miller,47,26962,78658,vacation,yes,east,2.9173651806245826
1138,mr. james powell,46,140497,37026,car,yes,east,0.2635358762108799
1139,chase jimenez,31,64241,7501,car,no,east,0.1167634376799863
1140,stephanie shaw,57,65251,76376,home,yes,east,1.1704954713337727
1141,joshua reyes,23,87397,10289,medical,yes,east,0.11772715310594185
1142,mikayla perry,46,94951,78696,medical,no,east,0.8288064370043496
1143,stephanie peters,54,80770,63639,medical,no,east,0.7879039247245264
1144,juan mercado,53,139152,10190,medical,no,east,0.07322927446245832
1145,kayla boyd,35,56545,78972,education,yes,east,1.3966221593421169
1146,marie ramirez,22,33705,54678,car,yes,east,1.62225189141077
1147,lori duncan,48,148213,66772,medical,yes,east,0.4505137875894827
1148,vanessa lawson,40,120302,39440,medical,yes,east,0.32784159864341406
1149,amanda johnson,58,35704,14260,vacation,no,east,0.39939502576742103
1150,jason smith,64,57119,21297,business,yes,east,0.3728531661968872
1151,lauren watson,36,53671,5445,business,no,east,0.10145143559836783
1152,daniel cruz,24,46203,11976,car,yes,east,0.2592039477955977
1153,andrew park,28,106927,24275,vacation,no,east,0.22702404444153487
1154,leslie keller,64,145503,57386,home,no,east,0.39439736637732553
1155,ronald miller,40,117115,68985,medical,yes,east,0.5890364171967724
1156,judith foley,46,37451,37195,education,yes,east,0.9931644014846066
1157,barbara kaiser,52,49516,67168,business,no,east,1.3564908312464659
1158,sherri lopez,33,136372,71131,medical,no,east,0.521595342152348
1159,mrs. jasmin bradley,25,145102,54428,home,yes,east,0.37510165263056333
1160,pamela burke md,64,121613,74301,education,no,east,0.6109626437963047
1161,jonathan hanson,62,100856,60587,business,yes,east,0.6007277702863488
1162,kim page,33,83642,47268,vacation,yes,east,0.5651227852036058
1163,barry hanson,61,70976,77673,home,yes,east,1.0943558385933274
1164,steven powers,31,44330,78251,home,yes,east,1.7651928716444845
1165,michael craig,57,112656,72228,vacation,no,east,0.6411376224968044
1166,christopher price,52,59612,71585,education,no,east,1.2008488223847547
1167,brandy pena,62,143299,58298,education,no,east,0.406827681979637
1168,ricky mitchell,38,138561,42866,business,no,east,0.3093655501908907
1169,sherry barker,49,56790,51378,education,no,east,0.904701531959852
1170,derek nelson,35,130863,65519,medical,no,east,0.500668638194142
1171,james conley,40,147872,27636,education,yes,east,0.1868913655053019
1172,matthew scott,64,112606,14590,vacation,yes,east,0.12956680816297533
1173,christopher wolfe,56,44449,22990,home,no,east,0.5172219847465634
1174,collin forbes,25,99830,9669,education,yes,east,0.09685465290994691
1175,kristin bush,60,57256,19773,business,yes,east,0.34534371943551767
1176,latasha meyer,57,123983,18648,medical,no,east,0.15040771718703372
1177,michael huffman,53,32190,73152,education,yes,east,2.272506989748369
1178,laura cole,38,128651,12867,medical,yes,east,0.10001476863763205
1179,tammy rivas,39,70493,68788,education,yes,east,0.9758132013107684
1180,allison garcia,52,36561,76588,medical,yes,east,2.0948004704466507
1181,sarah perez,62,45431,45674,education,yes,east,1.0053487706632036
1182,pamela moore,42,54617,62437,education,yes,east,1.143178863723749
1183,benjamin watkins,61,38571,46532,car,no,east,1.2063985896139586
1184,rebecca davidson,21,134319,10865,home,yes,east,0.08088952419240762
1185,melissa edwards,45,121931,53657,business,no,east,0.44006036200802096
1186,james mathis,40,25009,47628,business,yes,east,1.9044344036146987
1187,penny singh,55,139291,15705,car,yes,east,0.11274956745231207
1188,tara mcpherson,26,135749,49057,education,no,east,0.36138019432924
1189,mark walsh,26,105739,34786,home,yes,east,0.3289798466034292
1190,gregory carroll,57,68791,67383,medical,no,east,0.9795322062479104
1191,mary allen,23,146151,68179,car,yes,east,0.46649697915169924
1192,matthew perez,57,95857,40422,business,no,east,0.42169064335416295
1193,michael ramirez,51,78368,47237,business,no,east,0.6027587790935075
1194,victor gomez,55,100914,53450,vacation,yes,east,0.5296589174941039
1195,ashlee parker,35,148553,32792,vacation,yes,east,0.2207427652083768
1196,james dawson,37,73847,79978,business,no,east,1.0830230070280444
1197,yolanda glover,35,147422,66871,education,no,east,0.45360258306087287
1198,theresa merritt,25,98042,78992,vacation,yes,east,0.8056955182472818
1199,brandy watkins,42,100755,63197,medical,yes,east,0.6272343804277704
1200,david moore,31,120491,14899,medical,yes,east,0.12365238897511018
1201,phillip peck,48,59224,35244,medical,no,east,0.5950965824665676
1202,lori young,34,123347,68179,education,yes,east,0.5527414529741299
1203,hannah jackson,59,65094,26584,business,no,east,0.4083940148093526
1204,mary rodriguez,23,87818,14020,vacation,no,east,0.1596483636612084
1205,ms. lori howard dds,62,119305,35983,vacation,yes,east,0.30160512970956793
1206,stacy villegas,31,35086,17251,business,no,east,0.4916775922020179
1207,john whitaker,50,118893,74780,education,no,east,0.6289689048135718
1208,jessica king,58,65544,35947,home,no,east,0.548440742096912
1209,erin price,25,117398,54838,education,yes,east,0.4671118758411557
1210,andrew davis,42,144258,57731,education,no,east,0.40019271028296527
1211,teresa vasquez,33,43955,19760,business,yes,east,0.4495506768285747
1212,bryan anderson,64,72660,76581,medical,yes,east,1.053963666391412
1213,eric cook,41,149295,67646,business,no,east,0.45310291704343747
1214,jessica blackburn,57,98736,21211,vacation,yes,east,0.2148253929671042
1215,scott palmer,45,96168,27156,home,yes,east,0.2823808335413027
1216,mathew garner,41,104236,26961,car,yes,east,0.2586534402701562
1217,carlos williams,48,59630,47186,vacation,yes,east,0.7913130974341774
1218,stephen morgan,61,75385,21711,car,yes,east,0.2880015918286131
1219,christopher alexander,24,110045,32520,education,no,east,0.29551547094370484
1220,tyler walter,49,29711,27825,car,yes,east,0.9365218269327859
1221,dr. christopher ballard,55,55871,75808,vacation,yes,east,1.35683986325643
1222,mrs. karla morales,43,27457,40504,medical,yes,east,1.4751793713807044
1223,james maldonado,27,147889,42238,business,no,east,0.28560609646424007
1224,michael hicks,29,101732,49883,home,yes,east,0.49033735697715564
1225,andrea blair,43,103375,33642,home,yes,east,0.3254365175332527
1226,lori williams,23,64467,75056,home,no,east,1.1642545798625654
1227,kimberly warren,29,38167,31299,vacation,yes,east,0.8200539733277439
1228,roy griffith,24,98995,47046,vacation,no,east,0.475236123036517
1229,robert fernandez,45,32157,7576,business,yes,east,0.23559411636657648
1230,stephanie walsh,26,135357,10183,medical,yes,east,0.07523068625929948
1231,nathan rowe,38,27714,62100,home,yes,east,2.240744749945876
1232,rhonda mitchell,27,111466,79350,car,no,east,0.711876267202555
1233,frank dean,55,52217,29352,medical,no,east,0.5621157860466898
1234,lawrence gutierrez,51,65132,64924,medical,no,east,0.9968064852914083
1235,kimberly cline,58,121653,51406,vacation,yes,east,0.42256253442167474
1236,richard cooper,52,105792,58552,vacation,no,east,0.5534633998790078
1237,kiara vargas,55,81371,18544,medical,no,east,0.22789445871379238
1238,carrie welch,48,135302,62418,home,no,east,0.46132355767098787
1239,ryan jordan,64,81788,60173,medical,yes,east,0.7357191764072969
1240,michele walker,25,34583,4085,vacation,no,east,0.11812162044935373
1241,anne kelly,50,114461,39497,home,no,east,0.3450694996549043
1242,jason lloyd,42,67042,4487,car,no,east,0.06692819426628084
1243,cynthia higgins,37,115405,77076,vacation,no,east,0.6678740089250899
1244,ray murillo,30,102807,27989,car,yes,east,0.2722479986771329
1245,melissa lopez,27,93371,43105,car,no,east,0.4616529757633526
1246,sarah wu,24,33013,49369,vacation,no,east,1.4954411898343076
1247,taylor smith,62,147643,10102,vacation,yes,east,0.06842180123676707
1248,dr. diana acevedo dds,47,103775,69545,car,no,east,0.6701517706576728
1249,tina hopkins,27,54540,23766,medical,no,east,0.4357535753575357
1250,daniel dorsey,43,61973,66794,medical,yes,east,1.0777919416520096
1251,ronnie clark,31,137157,77509,home,yes,east,0.5651115145417296
1252,joshua castro,28,92690,6079,car,no,east,0.06558420541590247
1253,alexandra li,28,112028,15167,education,yes,east,0.13538579640804085
1254,courtney taylor,57,133840,70722,car,no,east,0.5284070531978482
1255,steven kim,25,94459,47279,business,yes,east,0.5005240368837274
1256,zachary vaughn,27,56558,12398,education,no,east,0.21920860002121717
1257,travis cook,42,133350,64140,business,yes,east,0.4809898762654668
1258,shannon ortega,56,113004,7518,education,yes,east,0.06652861845598386
1259,cindy macdonald,22,65030,48452,vacation,yes,east,0.7450715054590189
1260,kimberly powell,44,61636,52456,home,no,east,0.8510610682068921
1261,ebony robertson,22,94326,57290,medical,yes,east,0.6073617030299175
1262,michael berg,32,134528,39222,home,no,east,0.2915526879162702
1263,jonathon bullock,62,115956,9082,education,no,east,0.07832281210114181
1264,michael hart,46,84051,25111,car,yes,east,0.2987590867449525
1265,jonathan rodriguez,58,122751,22939,home,no,east,0.18687424135037597
1266,joseph silva,26,88566,54826,education,no,east,0.6190411670392701
1267,christopher allen dds,43,76159,55582,car,no,east,0.7298152549271918
1268,donna ruiz,22,91809,51819,medical,no,east,0.5644217887135248
1269,jamie martinez,46,81025,76076,education,no,east,0.9389200863930885
1270,jay york,34,51680,22533,business,no,east,0.43601006191950464
1271,caitlin davis,38,134463,50430,business,yes,east,0.3750474108118962
1272,charles lewis,58,37434,6347,business,no,east,0.16955174440348347
1273,brent ryan,52,87185,51479,car,no,east,0.5904570740379652
1274,jonathan palmer,34,71096,6949,car,yes,east,0.09774108248002701
1275,janet stephens,50,72471,19888,home,yes,east,0.274427012184184
1276,jessica kennedy,33,81004,76301,car,yes,east,0.9419411387091996
1277,sara galloway,60,99940,33084,education,no,east,0.33103862317390437
1278,mindy allen,51,65579,39174,business,yes,east,0.5973558608700956
1279,amanda bryant,57,35487,55669,medical,no,east,1.5687153041959028
1280,geoffrey smith,58,100925,66996,vacation,yes,east,0.6638196680703493
1281,alan harris jr.,42,119921,46664,business,no,east,0.389122839202475
1282,sarah sanchez,48,85628,50634,education,no,east,0.5913252674358854
1283,michelle dunn,39,125568,73793,vacation,yes,east,0.5876736111111112
1284,james downs,63,73133,41291,medical,no,east,0.5646014794962603
1285,mr. eric brown,36,121925,12910,home,yes,east,0.10588476522452327
1286,yolanda sullivan,25,138500,33604,car,no,east,0.24262815884476535
1287,kristen collins,64,108530,23883,education,yes,east,0.220058969870082
1288,justin larsen,22,34610,56726,vacation,no,east,1.6390060676105171
1289,robert stanley,30,108706,59017,car,yes,east,0.5429047154710872
1290,andrea conner,39,78551,40083,home,yes,east,0.5102799455131062
1291,robert williams,40,38869,57467,medical,yes,east,1.4784789935424116
1292,debra bradford,49,110402,16271,vacation,no,east,0.14737957645694824
1293,austin clark,45,113466,56931,education,no,east,0.5017450161281793
1294,paul mack,37,100605,67456,medical,yes,east,0.6705034541026788
1295,timothy brown,33,134403,41574,vacation,no,east,0.30932345260150446
1296,chris may,36,73954,54121,vacation,no,east,0.7318197798631582
1297,robert dean,55,99107,30679,education,yes,east,0.3095543200782992
1298,jennifer aguilar,56,47979,79794,home,yes,east,1.6631026073907333
1299,brenda davis,59,36492,4759,home,yes,east,0.13041214512769922
1300,michael erickson,23,140381,58718,home,no,east,0.4182759775183251
1301,marie jimenez,29,85920,31628,car,no,east,0.3681098696461825
1302,christine smith,60,120826,32675,business,yes,east,0.27043020541936336
1303,rachel mccoy,49,137784,21665,medical,yes,east,0.15723886663182954
1304,kyle padilla,25,119257,65268,education,no,east,0.5472886287597374
1305,christine shelton,23,149327,14226,medical,yes,east,0.09526743321703376
1306,tracey castillo,30,122379,50982,business,no,east,0.41659108180325055
1307,jeremy ryan,51,101118,20507,car,yes,east,0.20280266619197374
1308,mark bennett,31,48409,74367,car,yes,east,1.5362226032349358
1309,david ochoa,37,141443,4234,business,yes,east,0.029934319832017137
1310,ricardo kramer,60,90162,59028,vacation,yes,east,0.6546882278565249
1311,adam gregory,61,97569,8956,education,yes,east,0.0917914501532249
1312,melissa parker,28,49077,52826,business,no,east,1.0763901623978647
1313,jennifer fernandez,22,85428,21689,car,yes,east,0.2538863136208269
1314,kelly griffin,24,51455,69804,vacation,yes,east,1.356602856865222
1315,maureen russell,36,52385,24481,car,no,east,0.46732843371194044
1316,jesse maxwell,61,25847,7194,vacation,yes,east,0.278330173714551
1317,susan martinez,61,101699,31370,medical,yes,east,0.30845927688571173
1318,edwin estrada,41,78213,13251,education,yes,east,0.1694219631007633
1319,charles brooks,25,140883,66356,education,yes,east,0.4710007594954679
1320,jessica sullivan,55,34704,7029,car,yes,east,0.2025414937759336
1321,kelsey reeves,34,69862,71396,business,no,east,1.021957573502047
1322,andrew delacruz,35,145166,72049,car,no,east,0.4963214526817574
1323,daniel robinson,26,56849,38987,medical,yes,east,0.6857992225017151
1324,william freeman,36,96868,44138,business,no,east,0.4556509889746872
1325,carl cruz,43,147842,73466,car,yes,east,0.49692239011918127
1326,james edwards,51,30648,7677,vacation,no,east,0.2504894283476899
1327,jeremiah walker,62,56793,8472,vacation,yes,east,0.1491733136125931
1328,joseph mccann,32,110240,42476,education,yes,east,0.3853047895500726
1329,megan thomas,61,109377,16728,medical,yes,east,0.15293891768836226
1330,christopher mccann,39,118574,27214,car,no,east,0.22951068531043906
1331,kathryn smith,32,28450,49649,car,no,east,1.7451318101933215
1332,michael patterson,33,33418,38297,vacation,no,east,1.1459991621281944
1333,victoria kelly,22,73718,77663,vacation,no,east,1.0535147453810467
1334,charles cordova,40,59575,59622,vacation,no,east,1.0007889215274863
1335,jeffrey garcia,51,135804,71009,vacation,no,east,0.5228785602780478
1336,kristin powell,29,122260,7662,home,yes,east,0.06266972026828072
1337,erica cain,41,139009,43496,business,yes,east,0.312900603558043
1338,cassandra carter,28,58186,5665,home,no,east,0.09736018973636269
1339,katelyn osborne,59,139426,79720,education,yes,east,0.5717728400728702
1340,monica hughes,57,51451,48942,business,yes,east,0.9512351557792852
1341,jennifer hines,49,28155,11475,medical,yes,east,0.40756526371870005
1342,lisa collins,39,34110,40239,business,no,east,1.1796833773087072
1343,kathleen cole,55,114284,25903,vacation,no,east,0.22665464981974728
1344,whitney hill,58,54448,64134,car,no,east,1.1778945048486629
1345,cynthia thomas,46,123122,20171,car,yes,east,0.16382937249232468
1346,brian simpson,31,110738,15660,car,no,east,0.141414871137279
1347,ryan taylor,56,70231,61200,business,yes,east,0.8714100610841367
1348,kathleen brown,55,60399,45658,car,yes,east,0.755939667875296
1349,thomas white,24,45058,26289,car,yes,east,0.5834480003550979
1350,melanie thomas,23,149225,10988,vacation,yes,east,0.07363377450159156
1351,lisa campbell,32,95166,42974,home,yes,east,0.45156883761007083
1352,jennifer sandoval,52,97404,35052,car,yes,east,0.359862017986941
1353,robert jackson,46,128817,48154,home,no,east,0.37381712041112586
1354,xavier powell,63,125133,5421,education,yes,east,0.04332190549255592
1355,emily riley,63,100391,63149,business,yes,east,0.6290304907810461
1356,joshua rodriguez,33,73698,72467,home,yes,east,0.9832966973323564
1357,alexander martin,64,70379,74561,vacation,yes,east,1.0594211341451285
1358,alexis thompson,58,115196,44584,business,no,east,0.3870273273377548
1359,david phillips,49,122275,29176,business,yes,east,0.23860969126967901
1360,teresa williams,39,28812,50540,medical,no,east,1.7541302235179785
1361,jeffrey wright,55,42270,48305,home,yes,east,1.1427726519990538
1362,grace mitchell,61,48978,40273,car,no,east,0.822267140348728
1363,sandra burke,47,36531,45369,vacation,no,east,1.2419315102241932
1364,steven hunter,51,53783,47827,vacation,no,east,0.8892586876894186
1365,stacy ortiz,23,85019,46930,medical,yes,east,0.5519942601065644
1366,anthony hernandez,55,38236,69334,home,no,east,1.8133172926038288
1367,willie ponce,44,142485,6462,vacation,yes,east,0.04535214233077166
1368,john bailey,27,55093,53479,home,no,east,0.9707040821882997
1369,gregory luna,55,94683,10449,education,no,east,0.1103577199708501
1370,jeffery brown,41,43515,61038,car,yes,east,1.402688728024819
1371,micheal bryant,21,118806,63760,education,no,east,0.5366732319916503
1372,helen morgan,64,27759,48190,business,yes,east,1.7360135451565257
1373,jennifer davis,26,134274,33163,car,yes,east,0.2469800557069872
1374,courtney ross,59,50316,51242,education,yes,east,1.018403688687495
1375,bill bowman,54,93412,35953,education,no,east,0.3848863101100501
1376,timothy hall,38,70480,42799,car,no,east,0.6072502837684449
1377,brian dean,45,38332,15288,home,no,east,0.39883126369612854
1378,jacob huynh,35,100439,30473,business,no,east,0.30339808241818417
1379,bradley wade,52,74207,30591,medical,no,east,0.41223873758540297
1380,steven daniels,62,126666,31391,vacation,yes,east,0.24782498855257132
1381,amber jarvis,38,68819,12877,medical,no,east,0.18711402374344294
1382,bryce sweeney,51,83150,76127,medical,yes,east,0.9155381840048106
1383,brandi jackson,49,142744,55550,business,no,east,0.3891582133049375
1384,kimberly rodriguez,35,78902,13494,car,no,east,0.1710222808040354
1385,darlene fuller,43,34198,3078,car,yes,east,0.09000526346569974
1386,lisa phillips,58,128307,11977,car,yes,east,0.09334642692916209
1387,isaiah casey,61,40732,35593,medical,yes,east,0.873833840714917
1388,aaron wheeler,31,131209,72754,home,no,east,0.5544894024037985
1389,michelle mason,35,111023,74265,education,no,east,0.6689154499518117
1390,bryan smith,43,80419,5723,medical,yes,east,0.07116477449358982
1391,kim sherman,23,26781,12773,business,yes,east,0.47694260856577425
1392,daniel fernandez,39,103948,52510,car,no,east,0.5051564243660291
1393,vickie martin,21,75141,70301,education,yes,east,0.9355877616747182
1394,dawn tran,44,122090,36572,car,yes,east,0.29954951265459906
1395,shannon rhodes,31,86277,74185,car,yes,east,0.859846772604518
1396,brian mendoza,50,134660,41759,car,no,east,0.31010693598693007
1397,madison mejia,31,81704,17539,vacation,no,east,0.21466513267404289
1398,megan ochoa,59,56485,43593,home,no,east,0.7717624148003894
1399,victor gonzalez,21,79351,48022,education,yes,east,0.605184559740898
1400,sara aguilar,32,143057,63765,medical,yes,east,0.44573142174098435
1401,diana english,24,51654,36051,home,no,east,0.6979323963294227
1402,stephanie douglas,45,58145,53730,vacation,no,east,0.9240691375010749
1403,laura williams,28,76529,48242,business,yes,east,0.6303754132420389
1404,austin jones,35,129349,69159,vacation,no,east,0.5346697693836056
1405,tyler chang,63,71378,36312,business,yes,east,0.5087281795511222
1406,roger mclaughlin,50,41665,10586,vacation,no,east,0.25407416296651864
1407,brian mendoza,60,87475,64076,medical,no,east,0.7325064304086882
1408,cory wright,52,103462,65399,education,no,east,0.632106473874466
1409,ashley hudson,64,109839,21131,medical,no,east,0.19238157667130984
1410,kelly barnes,55,72802,18020,home,no,east,0.247520672508997
1411,robert morris,41,102892,77771,education,no,east,0.7558507950083583
1412,kelly hill,51,64752,62523,business,yes,east,0.9655763528539659
1413,scott osborne,56,61362,78043,education,yes,east,1.2718457677389916
1414,karen white,47,75990,66477,education,yes,east,0.8748124753257007
1415,carlos miller,64,72126,74244,education,no,east,1.0293652774311621
1416,debbie robinson,28,103160,73067,medical,no,east,0.7082880961613028
