order_id,customer_id,customer_name,segment,region,order_date,ship_date,category,sub_category,product_name,sales,quantity,discount,profit
ord-10044,cust-4962,evan brock,home office,south,2020-02-14,2020-02-16,technology,accessories,accessories model 5,1305.78,8,0.0,41.78
ord-10045,cust-1378,mary barnes,consumer,east,2020-02-15,2020-02-17,technology,copiers,copiers model 1,1301.35,8,0.5,86.58
ord-10046,cust-9712,helen bauer,corporate,central,2020-02-16,2020-02-18,technology,copiers,copiers model 2,1852.19,4,0.2,91.78
ord-10047,cust-3903,carolyn cantrell,corporate,central,2020-02-17,2020-02-19,technology,copiers,copiers model 3,237.48,2,0.3,3.87
ord-10048,cust-2033,lisa roberts,consumer,west,2020-02-18,2020-02-20,technology,copiers,copiers model 4,1401.02,5,0.5,161.38
ord-10049,cust-4389,ashley mathews,consumer,east,2020-02-19,2020-02-21,technology,copiers,copiers model 5,1684.16,4,0.1,42.14
ord-10050,cust-7722,hunter morris,home office,south,2020-02-20,2020-02-22,technology,machines,machines model 1,230.08,1,0.2,8.73
ord-10051,cust-7017,emily dickerson,home office,central,2020-02-21,2020-02-23,technology,machines,machines model 2,555.46,7,0.5,44.47
ord-10052,cust-5326,nicole fleming,home office,west,2020-02-22,2020-02-24,technology,machines,machines model 3,1135.88,8,0.1,108.31
ord-10053,cust-4524,edward elliott,corporate,south,2020-02-23,2020-02-25,technology,machines,machines model 4,24.48,1,0.1,0.13
ord-10054,cust-2638,whitney york,home office,south,2020-02-24,2020-02-26,technology,machines,machines model 5,212.4,9,0.1,13.96
ord-10055,cust-5651,joseph olson,corporate,south,2020-02-25,2020-02-27,furniture,bookcases,bookcases model 1,106.07,7,0.1,12.47
ord-10056,cust-8113,regina harris,consumer,west,2020-02-26,2020-02-28,furniture,bookcases,bookcases model 2,15.28,1,0.3,0.29
ord-10057,cust-1654,ryan green,consumer,west,2020-02-27,2020-02-29,furniture,bookcases,bookcases model 3,1162.16,9,0.3,-13.76
ord-10058,cust-5802,edgar duran,consumer,west,2020-02-28,2020-03-01,furniture,bookcases,bookcases model 4,1041.25,5,0.5,45.72
ord-10059,cust-1529,scott young,consumer,south,2020-02-29,2020-03-02,furniture,bookcases,bookcases model 5,953.13,4,0.1,58.4
ord-10060,cust-4356,jeffrey herrera,consumer,south,2020-03-01,2020-03-03,furniture,chairs,chairs model 1,1942.7,1,0.2,160.69
ord-10061,cust-7822,yolanda molina,corporate,south,2020-03-02,2020-03-04,furniture,chairs,chairs model 2,1107.43,2,0.1,44.66
ord-10062,cust-2077,caleb le,home office,west,2020-03-03,2020-03-05,furniture,chairs,chairs model 3,1902.35,8,0.5,175.62
ord-10063,cust-8180,jeffrey young,consumer,east,2020-03-04,2020-03-06,furniture,chairs,chairs model 4,1204.11,1,0.5,105.34
ord-10064,cust-9396,david rodriguez,consumer,east,2020-03-05,2020-03-07,furniture,chairs,chairs model 5,1276.65,6,0.0,72.2
ord-10065,cust-2243,lisa walker,consumer,east,2020-03-06,2020-03-08,furniture,tables,tables model 1,230.51,4,0.3,3.65
ord-10066,cust-8565,mary nguyen,corporate,west,2020-03-07,2020-03-09,furniture,tables,tables model 2,847.58,5,0.3,11.94
ord-10067,cust-5851,karen mcmillan,corporate,central,2020-03-08,2020-03-10,furniture,tables,tables model 3,1688.39,9,0.5,-132.61
ord-10068,cust-6357,david hernandez,consumer,central,2020-03-09,2020-03-11,furniture,tables,tables model 4,1695.3,4,0.0,46.71
ord-10069,cust-3830,abigail curtis dds,consumer,west,2020-03-10,2020-03-12,furniture,tables,tables model 5,1667.81,1,0.0,94.9
ord-10070,cust-3623,lisa ramirez,consumer,east,2020-03-11,2020-03-13,office supplies,binders,binders model 1,1253.87,3,0.2,40.02
ord-10071,cust-3964,jack parks,home office,central,2020-03-12,2020-03-14,office supplies,binders,binders model 2,924.47,4,0.1,73.0
ord-10072,cust-3163,darryl bryant,corporate,west,2020-03-13,2020-03-15,office supplies,binders,binders model 3,1413.88,9,0.5,113.94
ord-10073,cust-8513,daniel potter,home office,west,2020-03-14,2020-03-16,office supplies,binders,binders model 4,718.79,7,0.2,62.21
ord-10074,cust-4664,nicole george,home office,south,2020-03-15,2020-03-17,office supplies,binders,binders model 5,622.65,2,0.0,55.44
ord-10075,cust-6818,cassandra perkins,home office,east,2020-03-16,2020-03-18,office supplies,pens,pens model 1,1567.17,4,0.0,117.44
ord-10076,cust-2895,hannah castillo,home office,central,2020-03-17,2020-03-19,office supplies,pens,pens model 2,646.59,5,0.0,38.09
ord-10077,cust-6596,brittany hoover,home office,west,2020-03-18,2020-03-20,office supplies,pens,pens model 3,339.63,8,0.0,10.53
ord-10078,cust-4041,ashley howard,home office,west,2020-03-19,2020-03-21,office supplies,pens,pens model 4,1951.29,6,0.5,-79.71
ord-10079,cust-7077,nicholas howard,corporate,east,2020-03-20,2020-03-22,office supplies,pens,pens model 5,1040.27,4,0.2,-5.76
ord-10080,cust-9265,erin walker md,corporate,south,2020-03-21,2020-03-23,office supplies,paper,paper model 1,571.51,8,0.3,59.75
ord-10081,cust-9015,kathryn taylor,consumer,south,2020-03-22,2020-03-24,office supplies,paper,paper model 2,902.99,9,0.2,77.0
ord-10082,cust-4589,sarah burke,consumer,east,2020-03-23,2020-03-25,office supplies,paper,paper model 3,329.81,3,0.2,-0.83
ord-10083,cust-4931,allison mccormick,corporate,west,2020-03-24,2020-03-26,office supplies,paper,paper model 4,583.39,6,0.5,22.01
ord-10084,cust-9376,timothy sutton,home office,east,2020-03-25,2020-03-27,office supplies,paper,paper model 5,889.92,1,0.2,-3.08
ord-10085,cust-8808,jason mcintosh,corporate,east,2020-03-26,2020-03-28,office supplies,labels,labels model 1,389.43,6,0.2,36.97
ord-10086,cust-8183,kurt palmer,home office,west,2020-03-27,2020-03-29,office supplies,labels,labels model 2,1388.82,9,0.2,48.25
ord-10087,cust-2796,joshua castaneda,home office,east,2020-03-28,2020-03-30,office supplies,labels,labels model 3,288.15,9,0.1,3.67
ord-10088,cust-3552,thomas bell,corporate,central,2020-03-29,2020-03-31,office supplies,labels,labels model 4,1735.05,9,0.5,36.7
ord-10089,cust-3276,laura henry,consumer,south,2020-03-30,2020-04-01,office supplies,labels,labels model 5,1408.28,3,0.0,-25.98
ord-10090,cust-7276,sara huff,corporate,east,2020-03-31,2020-04-02,technology,phones,phones model 1,1062.74,6,0.2,34.79
ord-10091,cust-8336,antonio andrews,corporate,west,2020-04-01,2020-04-03,technology,phones,phones model 2,1652.9,3,0.3,-34.68
ord-10092,cust-2866,marissa myers,corporate,east,2020-04-02,2020-04-04,technology,phones,phones model 3,117.21,1,0.5,9.48
ord-10093,cust-5789,james murray,consumer,east,2020-04-03,2020-04-05,technology,phones,phones model 4,1379.85,1,0.3,25.88
ord-10094,cust-8653,michael holland,consumer,south,2020-04-04,2020-04-06,technology,phones,phones model 5,380.7,2,0.3,0.07
ord-10095,cust-2273,karen johnson,home office,east,2020-04-05,2020-04-07,technology,accessories,accessories model 1,578.96,6,0.1,28.9
ord-10096,cust-5962,joseph hill,corporate,west,2020-04-06,2020-04-08,technology,accessories,accessories model 2,802.72,6,0.0,60.09
ord-10097,cust-2296,laura jones,corporate,west,2020-04-07,2020-04-09,technology,accessories,accessories model 3,1061.26,7,0.3,135.71
ord-10098,cust-2560,mark johns,home office,west,2020-04-08,2020-04-10,technology,accessories,accessories model 4,1516.39,8,0.2,101.97
ord-10099,cust-9180,melissa brown,home office,south,2020-04-09,2020-04-11,technology,accessories,accessories model 5,440.23,9,0.2,18.71
ord-10100,cust-5915,anthony cohen,home office,east,2020-04-10,2020-04-12,technology,copiers,copiers model 1,1157.35,9,0.5,47.28
ord-10101,cust-6844,larry stevenson,consumer,west,2020-04-11,2020-04-13,technology,copiers,copiers model 2,541.77,4,0.0,22.05
ord-10102,cust-4523,tyler white,consumer,east,2020-04-12,2020-04-14,technology,copiers,copiers model 3,313.92,7,0.3,17.63
ord-10103,cust-5875,danielle anderson,corporate,east,2020-04-13,2020-04-15,technology,copiers,copiers model 4,1828.82,4,0.3,86.81
ord-10104,cust-5762,michelle yates,consumer,west,2020-04-14,2020-04-16,technology,copiers,copiers model 5,944.66,7,0.0,-6.81
ord-10105,cust-8372,vincent perkins,corporate,east,2020-04-15,2020-04-17,technology,machines,machines model 1,391.49,8,0.0,28.52
ord-10106,cust-4474,anne reed,home office,south,2020-04-16,2020-04-18,technology,machines,machines model 2,1650.98,8,0.2,19.49
ord-10107,cust-7289,tyler brown,home office,east,2020-04-17,2020-04-19,technology,machines,machines model 3,644.34,5,0.2,76.54
ord-10108,cust-3999,michael hardy,home office,central,2020-04-18,2020-04-20,technology,machines,machines model 4,269.01,4,0.5,4.47
ord-10109,cust-3996,eric porter,home office,south,2020-04-19,2020-04-21,technology,machines,machines model 5,131.99,5,0.5,3.74
ord-10110,cust-6423,dennis morgan,consumer,south,2020-04-20,2020-04-22,furniture,bookcases,bookcases model 1,675.58,2,0.3,8.24
ord-10111,cust-5345,nicholas wood,home office,east,2020-04-21,2020-04-23,furniture,bookcases,bookcases model 2,1700.04,2,0.2,240.32
ord-10112,cust-7435,edward garza,home office,south,2020-04-22,2020-04-24,furniture,bookcases,bookcases model 3,869.14,3,0.5,57.67
ord-10113,cust-8786,michelle rogers,home office,west,2020-04-23,2020-04-25,furniture,bookcases,bookcases model 4,356.52,1,0.5,-30.83
ord-10114,cust-9308,jacob ball,consumer,west,2020-04-24,2020-04-26,furniture,bookcases,bookcases model 5,601.9,4,0.2,-42.55
ord-10115,cust-1341,jeffrey marks,consumer,south,2020-04-25,2020-04-27,furniture,chairs,chairs model 1,249.68,9,0.5,6.7
ord-10116,cust-7190,michael cobb,home office,west,2020-04-26,2020-04-28,furniture,chairs,chairs model 2,1361.19,5,0.3,174.06
ord-10117,cust-7211,erica johnson,home office,west,2020-04-27,2020-04-29,furniture,chairs,chairs model 3,363.11,5,0.5,11.44
ord-10118,cust-4547,tyler patterson md,home office,west,2020-04-28,2020-04-30,furniture,chairs,chairs model 4,892.68,4,0.5,-9.11
ord-10119,cust-6152,mark campbell,consumer,west,2020-04-29,2020-05-01,furniture,chairs,chairs model 5,79.76,7,0.0,2.36
ord-10120,cust-6717,evan jenkins,consumer,west,2020-04-30,2020-05-02,furniture,tables,tables model 1,1313.74,8,0.2,122.04
ord-10121,cust-4786,miranda obrien,corporate,east,2020-05-01,2020-05-03,furniture,tables,tables model 2,606.69,5,0.3,4.01
ord-10122,cust-8118,luis banks,consumer,south,2020-05-02,2020-05-04,furniture,tables,tables model 3,369.57,7,0.1,2.02
ord-10123,cust-7631,james williams,consumer,west,2020-05-03,2020-05-05,furniture,tables,tables model 4,1406.73,7,0.2,-24.29
ord-10124,cust-8409,kayla wright,home office,west,2020-05-04,2020-05-06,furniture,tables,tables model 5,937.69,3,0.3,121.61
ord-10125,cust-9965,henry green,consumer,east,2020-05-05,2020-05-07,office supplies,binders,binders model 1,1389.57,6,0.0,5.84
ord-10126,cust-2214,matthew murphy,consumer,west,2020-05-06,2020-05-08,office supplies,binders,binders model 2,905.69,4,0.2,100.07
ord-10127,cust-6309,michael adams,corporate,west,2020-05-07,2020-05-09,office supplies,binders,binders model 3,333.56,4,0.0,23.83
ord-10128,cust-2735,mr. elijah joseph,consumer,west,2020-05-08,2020-05-10,office supplies,binders,binders model 4,1180.94,7,0.0,83.22
ord-10129,cust-6601,aaron moore,consumer,west,2020-05-09,2020-05-11,office supplies,binders,binders model 5,1775.31,9,0.3,143.34
ord-10130,cust-2573,karen drake,home office,south,2020-05-10,2020-05-12,office supplies,pens,pens model 1,1585.03,9,0.3,192.37
ord-10131,cust-2279,maria silva,home office,central,2020-05-11,2020-05-13,office supplies,pens,pens model 2,822.55,6,0.1,48.49
ord-10132,cust-2304,beverly thomas,corporate,central,2020-05-12,2020-05-14,office supplies,pens,pens model 3,1688.55,2,0.0,-26.36
ord-10133,cust-3531,kelly rodriguez,home office,west,2020-05-13,2020-05-15,office supplies,pens,pens model 4,77.42,5,0.0,-1.23
ord-10134,cust-3275,ryan petersen,consumer,west,2020-05-14,2020-05-16,office supplies,pens,pens model 5,1537.72,4,0.0,167.18
ord-10135,cust-5219,kimberly benjamin,consumer,east,2020-05-15,2020-05-17,office supplies,paper,paper model 1,1399.27,2,0.5,98.62
ord-10136,cust-7906,mr. michael mcdonald,corporate,south,2020-05-16,2020-05-18,office supplies,paper,paper model 2,1449.82,8,0.1,92.32
ord-10137,cust-4962,vincent parker,corporate,west,2020-05-17,2020-05-19,office supplies,paper,paper model 3,284.75,7,0.5,-4.06
ord-10138,cust-7183,james copeland,home office,east,2020-05-18,2020-05-20,office supplies,paper,paper model 4,26.85,6,0.5,1.57
ord-10139,cust-2236,craig clark,consumer,east,2020-05-19,2020-05-21,office supplies,paper,paper model 5,635.69,3,0.1,43.55
ord-10140,cust-5011,miss amy mason,home office,central,2020-05-20,2020-05-22,office supplies,labels,labels model 1,624.01,1,0.3,86.5
ord-10141,cust-1129,sarah kelly,home office,central,2020-05-21,2020-05-23,office supplies,labels,labels model 2,1187.74,8,0.5,47.98
ord-10142,cust-9256,gregory davis,corporate,south,2020-05-22,2020-05-24,office supplies,labels,labels model 3,664.34,8,0.3,54.94
ord-10143,cust-8879,shannon johnson,consumer,west,2020-05-23,2020-05-25,office supplies,labels,labels model 4,358.43,7,0.3,-2.54
ord-10144,cust-9213,karla hicks,consumer,west,2020-05-24,2020-05-26,office supplies,labels,labels model 5,1909.48,5,0.2,36.45
ord-10145,cust-2834,brandon tran,home office,west,2020-05-25,2020-05-27,technology,phones,phones model 1,1315.13,3,0.0,17.32
ord-10146,cust-7826,christopher james,consumer,south,2020-05-26,2020-05-28,technology,phones,phones model 2,658.37,7,0.1,15.52
ord-10147,cust-5139,darren perez,corporate,south,2020-05-27,2020-05-29,technology,phones,phones model 3,1167.98,7,0.5,74.08
ord-10148,cust-7153,caroline thompson,home office,east,2020-05-28,2020-05-30,technology,phones,phones model 4,1108.1,2,0.1,236.2
ord-10149,cust-5458,peter parks,corporate,east,2020-05-29,2020-05-31,technology,phones,phones model 5,1607.97,9,0.5,0.59
ord-10150,cust-8043,aaron chavez,consumer,central,2020-05-30,2020-06-01,technology,accessories,accessories model 1,1497.84,2,0.2,96.07
ord-10151,cust-2142,julia may,consumer,central,2020-05-31,2020-06-02,technology,accessories,accessories model 2,431.31,6,0.2,18.33
ord-10152,cust-9729,tom phillips,corporate,south,2020-06-01,2020-06-03,technology,accessories,accessories model 3,991.22,3,0.3,66.76
ord-10153,cust-6020,elizabeth hunt,home office,east,2020-06-02,2020-06-04,technology,accessories,accessories model 4,724.5,1,0.0,-52.38
ord-10154,cust-1638,david gutierrez,consumer,west,2020-06-03,2020-06-05,technology,accessories,accessories model 5,406.36,3,0.0,19.44
ord-10155,cust-8349,sean henry,consumer,central,2020-06-04,2020-06-06,technology,copiers,copiers model 1,1651.0,1,0.3,130.97
ord-10156,cust-5222,michelle cooper,home office,east,2020-06-05,2020-06-07,technology,copiers,copiers model 2,96.16,1,0.2,2.8
ord-10157,cust-5370,michael anderson,corporate,east,2020-06-06,2020-06-08,technology,copiers,copiers model 3,468.69,7,0.2,20.17
ord-10158,cust-7151,nicole kidd,home office,south,2020-06-07,2020-06-09,technology,copiers,copiers model 4,1689.86,2,0.2,192.44
ord-10159,cust-6643,anna lewis,corporate,east,2020-06-08,2020-06-10,technology,copiers,copiers model 5,1417.4,4,0.5,62.52
ord-10160,cust-6201,bethany chandler,consumer,east,2020-06-09,2020-06-11,technology,machines,machines model 1,874.76,1,0.1,40.54
ord-10161,cust-5338,marissa thomas,home office,south,2020-06-10,2020-06-12,technology,machines,machines model 2,481.15,4,0.2,39.07
ord-10162,cust-6313,michael reynolds,consumer,west,2020-06-11,2020-06-13,technology,machines,machines model 3,682.51,5,0.1,65.51
ord-10163,cust-8826,mr. jeffrey cole phd,corporate,east,2020-06-12,2020-06-14,technology,machines,machines model 4,1444.84,5,0.1,-103.58
ord-10164,cust-6078,melissa miller,home office,west,2020-06-13,2020-06-15,technology,machines,machines model 5,1430.23,1,0.1,95.93
ord-10165,cust-3271,robin roth,home office,south,2020-06-14,2020-06-16,furniture,bookcases,bookcases model 1,654.54,8,0.1,39.13
ord-10166,cust-2133,megan odonnell,home office,central,2020-06-15,2020-06-17,furniture,bookcases,bookcases model 2,1611.53,3,0.0,-48.63
ord-10167,cust-8024,kathryn lawson,consumer,south,2020-06-16,2020-06-18,furniture,bookcases,bookcases model 3,1492.4,9,0.0,90.24
ord-10168,cust-1633,becky mckenzie,home office,east,2020-06-17,2020-06-19,furniture,bookcases,bookcases model 4,821.04,6,0.3,51.73
ord-10169,cust-5169,joseph sparks,corporate,east,2020-06-18,2020-06-20,furniture,bookcases,bookcases model 5,1505.79,3,0.5,12.98
ord-10170,cust-2133,valerie strickland,consumer,west,2020-06-19,2020-06-21,furniture,chairs,chairs model 1,188.05,2,0.0,7.97
ord-10171,cust-4924,patricia ortiz,corporate,west,2020-06-20,2020-06-22,furniture,chairs,chairs model 2,801.76,2,0.0,77.18
ord-10172,cust-5971,anthony murphy,home office,east,2020-06-21,2020-06-23,furniture,chairs,chairs model 3,1455.19,6,0.0,86.1
ord-10173,cust-8270,david barton,consumer,west,2020-06-22,2020-06-24,furniture,chairs,chairs model 4,655.43,9,0.2,65.04
ord-10174,cust-1912,julie vincent,corporate,west,2020-06-23,2020-06-25,furniture,chairs,chairs model 5,200.05,1,0.5,-8.87
ord-10175,cust-9558,kenneth nielsen,corporate,south,2020-06-24,2020-06-26,furniture,tables,tables model 1,335.1,7,0.5,21.27
ord-10176,cust-4394,courtney webb,corporate,west,2020-06-25,2020-06-27,furniture,tables,tables model 2,1198.22,2,0.1,-0.41
ord-10177,cust-2175,margaret rivera,consumer,south,2020-06-26,2020-06-28,furniture,tables,tables model 3,1986.4,8,0.0,-43.29
ord-10178,cust-7160,kayla higgins,corporate,east,2020-06-27,2020-06-29,furniture,tables,tables model 4,1865.28,4,0.2,127.94
ord-10179,cust-7026,brian hamilton,consumer,east,2020-06-28,2020-06-30,furniture,tables,tables model 5,768.71,3,0.1,36.59
ord-10180,cust-3969,kevin lyons,consumer,west,2020-06-29,2020-07-01,office supplies,binders,binders model 1,387.72,6,0.2,18.86
ord-10181,cust-5939,heather brooks,corporate,central,2020-06-30,2020-07-02,office supplies,binders,binders model 2,1458.8,6,0.0,-16.67
ord-10182,cust-1952,steven bennett,home office,south,2020-07-01,2020-07-03,office supplies,binders,binders model 3,1714.92,7,0.5,88.88
ord-10183,cust-5020,nicole ware,corporate,south,2020-07-02,2020-07-04,office supplies,binders,binders model 4,1763.24,7,0.1,104.84
ord-10184,cust-1018,daniel holland,home office,east,2020-07-03,2020-07-05,office supplies,binders,binders model 5,525.8,7,0.1,-26.71
ord-10185,cust-5260,todd jenkins,home office,central,2020-07-04,2020-07-06,office supplies,pens,pens model 1,1043.85,2,0.3,71.92
ord-10186,cust-5422,denise hoffman,corporate,east,2020-07-05,2020-07-07,office supplies,pens,pens model 2,304.62,1,0.5,6.7
ord-10187,cust-3308,jason becker,consumer,west,2020-07-06,2020-07-08,office supplies,pens,pens model 3,14.46,9,0.2,2.11
ord-10188,cust-8667,julia rodriguez,corporate,central,2020-07-07,2020-07-09,office supplies,pens,pens model 4,265.76,8,0.5,24.38
ord-10189,cust-9117,alan stevens,consumer,west,2020-07-08,2020-07-10,office supplies,pens,pens model 5,1647.23,3,0.1,3.31
ord-10190,cust-9778,keith olson,home office,west,2020-07-09,2020-07-11,office supplies,paper,paper model 1,997.27,2,0.1,-59.59
ord-10191,cust-9098,david wilkins,home office,central,2020-07-10,2020-07-12,office supplies,paper,paper model 2,521.86,2,0.1,-21.35
ord-10192,cust-9383,fernando thompson,home office,west,2020-07-11,2020-07-13,office supplies,paper,paper model 3,1985.65,1,0.2,190.09
ord-10193,cust-8559,michael arnold,consumer,central,2020-07-12,2020-07-14,office supplies,paper,paper model 4,658.4,1,0.1,85.76
ord-10194,cust-5252,gloria james,consumer,central,2020-07-13,2020-07-15,office supplies,paper,paper model 5,1070.97,3,0.1,17.32
ord-10195,cust-9360,betty jefferson,consumer,south,2020-07-14,2020-07-16,office supplies,labels,labels model 1,1192.96,9,0.5,28.72
ord-10196,cust-6417,amber stewart,home office,south,2020-07-15,2020-07-17,office supplies,labels,labels model 2,388.88,8,0.3,2.74
ord-10197,cust-8901,marc riley,corporate,east,2020-07-16,2020-07-18,office supplies,labels,labels model 3,392.15,2,0.0,-23.29
ord-10198,cust-7235,megan allen,corporate,west,2020-07-17,2020-07-19,office supplies,labels,labels model 4,1912.32,4,0.3,284.63
ord-10199,cust-7485,donna gonzalez,home office,east,2020-07-18,2020-07-20,office supplies,labels,labels model 5,993.63,6,0.2,8.8
ord-10200,cust-3147,brad sellers,home office,central,2020-07-19,2020-07-21,technology,phones,phones model 1,617.09,5,0.0,86.41
ord-10201,cust-8463,patrick mitchell,consumer,south,2020-07-20,2020-07-22,technology,phones,phones model 2,310.18,7,0.3,17.29
ord-10202,cust-9140,jason west,corporate,south,2020-07-21,2020-07-23,technology,phones,phones model 3,90.15,4,0.0,8.28
ord-10203,cust-8492,isaac roth,corporate,east,2020-07-22,2020-07-24,technology,phones,phones model 4,1884.3,3,0.0,240.77
ord-10204,cust-3226,nicole jones,consumer,south,2020-07-23,2020-07-25,technology,phones,phones model 5,474.12,1,0.5,-23.91
ord-10205,cust-5115,casey davis,home office,east,2020-07-24,2020-07-26,technology,accessories,accessories model 1,926.48,6,0.0,61.56
ord-10206,cust-5715,tiffany wells,home office,west,2020-07-25,2020-07-27,technology,accessories,accessories model 2,82.89,8,0.3,0.57
ord-10207,cust-5687,sharon brown,corporate,south,2020-07-26,2020-07-28,technology,accessories,accessories model 3,1592.79,7,0.1,-48.0
