Order ID,Customer ID,Customer Name,Segment,Region,Order Date,Ship Date,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-10038,CUST-6130,Erica Ray,Consumer,Central,2020-02-08,2020-02-10,Technology,Phones,Phones Model 4,981.32,5,0.2,-3.7
ORD-10039,CUST-8671,Timothy Allen,Home Office,South,2020-02-09,2020-02-11,Technology,Phones,Phones Model 5,1006.95,5,0.1,64.06
ORD-10040,CUST-1791,Diane Wright,Consumer,South,2020-02-10,2020-02-12,Technology,Accessories,Accessories Model 1,319.2,7,0.5,-18.41
ORD-10041,CUST-1329,Sara Henderson,Home Office,West,2020-02-11,2020-02-13,Technology,Accessories,Accessories Model 2,872.96,5,0.3,50.09
ORD-10042,CUST-6220,Joshua Allen,Home Office,West,2020-02-12,2020-02-14,Technology,Accessories,Accessories Model 3,1872.2,3,0.0,7.01
ORD-10043,CUST-7863,Clayton Griffin,Home Office,East,2020-02-13,2020-02-15,Technology,Accessories,Accessories Model 4,79.98,1,0.0,6.61
ORD-10044,CUST-4962,Evan Brock,Home Office,South,2020-02-14,2020-02-16,Technology,Accessories,Accessories Model 5,1305.78,8,0.0,41.78
ORD-10045,CUST-1378,Mary Barnes,Consumer,East,2020-02-15,2020-02-17,Technology,Copiers,Copiers Model 1,1301.35,8,0.5,86.58
ORD-10046,CUST-9712,Helen Bauer,Corporate,Central,2020-02-16,2020-02-18,Technology,Copiers,Copiers Model 2,1852.19,4,0.2,91.78
ORD-10047,CUST-3903,Carolyn Cantrell,Corporate,Central,2020-02-17,2020-02-19,Technology,Copiers,Copiers Model 3,237.48,2,0.3,3.87
ORD-10048,CUST-2033,Lisa Roberts,Consumer,West,2020-02-18,2020-02-20,Technology,Copiers,Copiers Model 4,1401.02,5,0.5,161.38
ORD-10049,CUST-4389,Ashley Mathews,Consumer,East,2020-02-19,2020-02-21,Technology,Copiers,Copiers Model 5,1684.16,4,0.1,42.14
ORD-10050,CUST-7722,Hunter Morris,Home Office,South,2020-02-20,2020-02-22,Technology,Machines,Machines Model 1,230.08,1,0.2,8.73
ORD-10051,CUST-7017,Emily Dickerson,Home Office,Central,2020-02-21,2020-02-23,Technology,Machines,Machines Model 2,555.46,7,0.5,44.47
ORD-10052,CUST-5326,Nicole Fleming,Home Office,West,2020-02-22,2020-02-24,Technology,Machines,Machines Model 3,1135.88,8,0.1,108.31
ORD-10053,CUST-4524,Edward Elliott,Corporate,South,2020-02-23,2020-02-25,Technology,Machines,Machines Model 4,24.48,1,0.1,0.13
ORD-10054,CUST-2638,Whitney York,Home Office,South,2020-02-24,2020-02-26,Technology,Machines,Machines Model 5,212.4,9,0.1,13.96
ORD-10055,CUST-5651,Joseph Olson,Corporate,South,2020-02-25,2020-02-27,Furniture,Bookcases,Bookcases Model 1,106.07,7,0.1,12.47
ORD-10056,CUST-8113,Regina Harris,Consumer,West,2020-02-26,2020-02-28,Furniture,Bookcases,Bookcases Model 2,15.28,1,0.3,0.29
ORD-10057,CUST-1654,Ryan Green,Consumer,West,2020-02-27,2020-02-29,Furniture,Bookcases,Bookcases Model 3,1162.16,9,0.3,-13.76
ORD-10058,CUST-5802,Edgar Duran,Consumer,West,2020-02-28,2020-03-01,Furniture,Bookcases,Bookcases Model 4,1041.25,5,0.5,45.72
ORD-10059,CUST-1529,Scott Young,Consumer,South,2020-02-29,2020-03-02,Furniture,Bookcases,Bookcases Model 5,953.13,4,0.1,58.4
ORD-10060,CUST-4356,Jeffrey Herrera,Consumer,South,2020-03-01,2020-03-03,Furniture,Chairs,Chairs Model 1,1942.7,1,0.2,160.69
ORD-10061,CUST-7822,Yolanda Molina,Corporate,South,2020-03-02,2020-03-04,Furniture,Chairs,Chairs Model 2,1107.43,2,0.1,44.66
ORD-10062,CUST-2077,Caleb Le,Home Office,West,2020-03-03,2020-03-05,Furniture,Chairs,Chairs Model 3,1902.35,8,0.5,175.62
ORD-10063,CUST-8180,Jeffrey Young,Consumer,East,2020-03-04,2020-03-06,Furniture,Chairs,Chairs Model 4,1204.11,1,0.5,105.34
ORD-10064,CUST-9396,David Rodriguez,Consumer,East,2020-03-05,2020-03-07,Furniture,Chairs,Chairs Model 5,1276.65,6,0.0,72.2
ORD-10065,CUST-2243,Lisa Walker,Consumer,East,2020-03-06,2020-03-08,Furniture,Tables,Tables Model 1,230.51,4,0.3,3.65
ORD-10066,CUST-8565,Mary Nguyen,Corporate,West,2020-03-07,2020-03-09,Furniture,Tables,Tables Model 2,847.58,5,0.3,11.94
ORD-10067,CUST-5851,Karen Mcmillan,Corporate,Central,2020-03-08,2020-03-10,Furniture,Tables,Tables Model 3,1688.39,9,0.5,-132.61
ORD-10068,CUST-6357,David Hernandez,Consumer,Central,2020-03-09,2020-03-11,Furniture,Tables,Tables Model 4,1695.3,4,0.0,46.71
ORD-10069,CUST-3830,Abigail Curtis DDS,Consumer,West,2020-03-10,2020-03-12,Furniture,Tables,Tables Model 5,1667.81,1,0.0,94.9
ORD-10070,CUST-3623,Lisa Ramirez,Consumer,East,2020-03-11,2020-03-13,Office Supplies,Binders,Binders Model 1,1253.87,3,0.2,40.02
ORD-10071,CUST-3964,Jack Parks,Home Office,Central,2020-03-12,2020-03-14,Office Supplies,Binders,Binders Model 2,924.47,4,0.1,73.0
ORD-10072,CUST-3163,Darryl Bryant,Corporate,West,2020-03-13,2020-03-15,Office Supplies,Binders,Binders Model 3,1413.88,9,0.5,113.94
ORD-10073,CUST-8513,Daniel Potter,Home Office,West,2020-03-14,2020-03-16,Office Supplies,Binders,Binders Model 4,718.79,7,0.2,62.21
ORD-10074,CUST-4664,Nicole George,Home Office,South,2020-03-15,2020-03-17,Office Supplies,Binders,Binders Model 5,622.65,2,0.0,55.44
ORD-10075,CUST-6818,Cassandra Perkins,Home Office,East,2020-03-16,2020-03-18,Office Supplies,Pens,Pens Model 1,1567.17,4,0.0,117.44
ORD-10076,CUST-2895,Hannah Castillo,Home Office,Central,2020-03-17,2020-03-19,Office Supplies,Pens,Pens Model 2,646.59,5,0.0,38.09
ORD-10077,CUST-6596,Brittany Hoover,Home Office,West,2020-03-18,2020-03-20,Office Supplies,Pens,Pens Model 3,339.63,8,0.0,10.53
ORD-10078,CUST-4041,Ashley Howard,Home Office,West,2020-03-19,2020-03-21,Office Supplies,Pens,Pens Model 4,1951.29,6,0.5,-79.71
ORD-10079,CUST-7077,Nicholas Howard,Corporate,East,2020-03-20,2020-03-22,Office Supplies,Pens,Pens Model 5,1040.27,4,0.2,-5.76
ORD-10080,CUST-9265,Erin Walker MD,Corporate,South,2020-03-21,2020-03-23,Office Supplies,Paper,Paper Model 1,571.51,8,0.3,59.75
ORD-10081,CUST-9015,Kathryn Taylor,Consumer,South,2020-03-22,2020-03-24,Office Supplies,Paper,Paper Model 2,902.99,9,0.2,77.0
ORD-10082,CUST-4589,Sarah Burke,Consumer,East,2020-03-23,2020-03-25,Office Supplies,Paper,Paper Model 3,329.81,3,0.2,-0.83
ORD-10083,CUST-4931,Allison Mccormick,Corporate,West,2020-03-24,2020-03-26,Office Supplies,Paper,Paper Model 4,583.39,6,0.5,22.01
ORD-10084,CUST-9376,Timothy Sutton,Home Office,East,2020-03-25,2020-03-27,Office Supplies,Paper,Paper Model 5,889.92,1,0.2,-3.08
ORD-10085,CUST-8808,Jason Mcintosh,Corporate,East,2020-03-26,2020-03-28,Office Supplies,Labels,Labels Model 1,389.43,6,0.2,36.97
ORD-10086,CUST-8183,Kurt Palmer,Home Office,West,2020-03-27,2020-03-29,Office Supplies,Labels,Labels Model 2,1388.82,9,0.2,48.25
ORD-10087,CUST-2796,Joshua Castaneda,Home Office,East,2020-03-28,2020-03-30,Office Supplies,Labels,Labels Model 3,288.15,9,0.1,3.67
ORD-10088,CUST-3552,Thomas Bell,Corporate,Central,2020-03-29,2020-03-31,Office Supplies,Labels,Labels Model 4,1735.05,9,0.5,36.7
ORD-10089,CUST-3276,Laura Henry,Consumer,South,2020-03-30,2020-04-01,Office Supplies,Labels,Labels Model 5,1408.28,3,0.0,-25.98
ORD-10090,CUST-7276,Sara Huff,Corporate,East,2020-03-31,2020-04-02,Technology,Phones,Phones Model 1,1062.74,6,0.2,34.79
ORD-10091,CUST-8336,Antonio Andrews,Corporate,West,2020-04-01,2020-04-03,Technology,Phones,Phones Model 2,1652.9,3,0.3,-34.68
ORD-10092,CUST-2866,Marissa Myers,Corporate,East,2020-04-02,2020-04-04,Technology,Phones,Phones Model 3,117.21,1,0.5,9.48
ORD-10093,CUST-5789,James Murray,Consumer,East,2020-04-03,2020-04-05,Technology,Phones,Phones Model 4,1379.85,1,0.3,25.88
ORD-10094,CUST-8653,Michael Holland,Consumer,South,2020-04-04,2020-04-06,Technology,Phones,Phones Model 5,380.7,2,0.3,0.07
ORD-10095,CUST-2273,Karen Johnson,Home Office,East,2020-04-05,2020-04-07,Technology,Accessories,Accessories Model 1,578.96,6,0.1,28.9
ORD-10096,CUST-5962,Joseph Hill,Corporate,West,2020-04-06,2020-04-08,Technology,Accessories,Accessories Model 2,802.72,6,0.0,60.09
ORD-10097,CUST-2296,Laura Jones,Corporate,West,2020-04-07,2020-04-09,Technology,Accessories,Accessories Model 3,1061.26,7,0.3,135.71
ORD-10098,CUST-2560,Mark Johns,Home Office,West,2020-04-08,2020-04-10,Technology,Accessories,Accessories Model 4,1516.39,8,0.2,101.97
ORD-10099,CUST-9180,Melissa Brown,Home Office,South,2020-04-09,2020-04-11,Technology,Accessories,Accessories Model 5,440.23,9,0.2,18.71
ORD-10100,CUST-5915,Anthony Cohen,Home Office,East,2020-04-10,2020-04-12,Technology,Copiers,Copiers Model 1,1157.35,9,0.5,47.28
ORD-10101,CUST-6844,Larry Stevenson,Consumer,West,2020-04-11,2020-04-13,Technology,Copiers,Copiers Model 2,541.77,4,0.0,22.05
ORD-10102,CUST-4523,Tyler White,Consumer,East,2020-04-12,2020-04-14,Technology,Copiers,Copiers Model 3,313.92,7,0.3,17.63
ORD-10103,CUST-5875,Danielle Anderson,Corporate,East,2020-04-13,2020-04-15,Technology,Copiers,Copiers Model 4,1828.82,4,0.3,86.81
ORD-10104,CUST-5762,Michelle Yates,Consumer,West,2020-04-14,2020-04-16,Technology,Copiers,Copiers Model 5,944.66,7,0.0,-6.81
ORD-10105,CUST-8372,Vincent Perkins,Corporate,East,2020-04-15,2020-04-17,Technology,Machines,Machines Model 1,391.49,8,0.0,28.52
ORD-10106,CUST-4474,Anne Reed,Home Office,South,2020-04-16,2020-04-18,Technology,Machines,Machines Model 2,1650.98,8,0.2,19.49
ORD-10107,CUST-7289,Tyler Brown,Home Office,East,2020-04-17,2020-04-19,Technology,Machines,Machines Model 3,644.34,5,0.2,76.54
ORD-10108,CUST-3999,Michael Hardy,Home Office,Central,2020-04-18,2020-04-20,Technology,Machines,Machines Model 4,269.01,4,0.5,4.47
ORD-10109,CUST-3996,Eric Porter,Home Office,South,2020-04-19,2020-04-21,Technology,Machines,Machines Model 5,131.99,5,0.5,3.74
ORD-10110,CUST-6423,Dennis Morgan,Consumer,South,2020-04-20,2020-04-22,Furniture,Bookcases,Bookcases Model 1,675.58,2,0.3,8.24
ORD-10111,CUST-5345,Nicholas Wood,Home Office,East,2020-04-21,2020-04-23,Furniture,Bookcases,Bookcases Model 2,1700.04,2,0.2,240.32
ORD-10112,CUST-7435,Edward Garza,Home Office,South,2020-04-22,2020-04-24,Furniture,Bookcases,Bookcases Model 3,869.14,3,0.5,57.67
ORD-10113,CUST-8786,Michelle Rogers,Home Office,West,2020-04-23,2020-04-25,Furniture,Bookcases,Bookcases Model 4,356.52,1,0.5,-30.83
ORD-10114,CUST-9308,Jacob Ball,Consumer,West,2020-04-24,2020-04-26,Furniture,Bookcases,Bookcases Model 5,601.9,4,0.2,-42.55
ORD-10115,CUST-1341,Jeffrey Marks,Consumer,South,2020-04-25,2020-04-27,Furniture,Chairs,Chairs Model 1,249.68,9,0.5,6.7
ORD-10116,CUST-7190,Michael Cobb,Home Office,West,2020-04-26,2020-04-28,Furniture,Chairs,Chairs Model 2,1361.19,5,0.3,174.06
ORD-10117,CUST-7211,Erica Johnson,Home Office,West,2020-04-27,2020-04-29,Furniture,Chairs,Chairs Model 3,363.11,5,0.5,11.44
ORD-10118,CUST-4547,Tyler Patterson MD,Home Office,West,2020-04-28,2020-04-30,Furniture,Chairs,Chairs Model 4,892.68,4,0.5,-9.11
ORD-10119,CUST-6152,Mark Campbell,Consumer,West,2020-04-29,2020-05-01,Furniture,Chairs,Chairs Model 5,79.76,7,0.0,2.36
ORD-10120,CUST-6717,Evan Jenkins,Consumer,West,2020-04-30,2020-05-02,Furniture,Tables,Tables Model 1,1313.74,8,0.2,122.04
ORD-10121,CUST-4786,Miranda Obrien,Corporate,East,2020-05-01,2020-05-03,Furniture,Tables,Tables Model 2,606.69,5,0.3,4.01
ORD-10122,CUST-8118,Luis Banks,Consumer,South,2020-05-02,2020-05-04,Furniture,Tables,Tables Model 3,369.57,7,0.1,2.02
ORD-10123,CUST-7631,James Williams,Consumer,West,2020-05-03,2020-05-05,Furniture,Tables,Tables Model 4,1406.73,7,0.2,-24.29
ORD-10124,CUST-8409,Kayla Wright,Home Office,West,2020-05-04,2020-05-06,Furniture,Tables,Tables Model 5,937.69,3,0.3,121.61
ORD-10125,CUST-9965,Henry Green,Consumer,East,2020-05-05,2020-05-07,Office Supplies,Binders,Binders Model 1,1389.57,6,0.0,5.84
ORD-10126,CUST-2214,Matthew Murphy,Consumer,West,2020-05-06,2020-05-08,Office Supplies,Binders,Binders Model 2,905.69,4,0.2,100.07
ORD-10127,CUST-6309,Michael Adams,Corporate,West,2020-05-07,2020-05-09,Office Supplies,Binders,Binders Model 3,333.56,4,0.0,23.83
ORD-10128,CUST-2735,Mr. Elijah Joseph,Consumer,West,2020-05-08,2020-05-10,Office Supplies,Binders,Binders Model 4,1180.94,7,0.0,83.22
ORD-10129,CUST-6601,Aaron Moore,Consumer,West,2020-05-09,2020-05-11,Office Supplies,Binders,Binders Model 5,1775.31,9,0.3,143.34
ORD-10130,CUST-2573,Karen Drake,Home Office,South,2020-05-10,2020-05-12,Office Supplies,Pens,Pens Model 1,1585.03,9,0.3,192.37
ORD-10131,CUST-2279,Maria Silva,Home Office,Central,2020-05-11,2020-05-13,Office Supplies,Pens,Pens Model 2,822.55,6,0.1,48.49
ORD-10132,CUST-2304,Beverly Thomas,Corporate,Central,2020-05-12,2020-05-14,Office Supplies,Pens,Pens Model 3,1688.55,2,0.0,-26.36
ORD-10133,CUST-3531,Kelly Rodriguez,Home Office,West,2020-05-13,2020-05-15,Office Supplies,Pens,Pens Model 4,77.42,5,0.0,-1.23
ORD-10134,CUST-3275,Ryan Petersen,Consumer,West,2020-05-14,2020-05-16,Office Supplies,Pens,Pens Model 5,1537.72,4,0.0,167.18
ORD-10135,CUST-5219,Kimberly Benjamin,Consumer,East,2020-05-15,2020-05-17,Office Supplies,Paper,Paper Model 1,1399.27,2,0.5,98.62
ORD-10136,CUST-7906,Mr. Michael Mcdonald,Corporate,South,2020-05-16,2020-05-18,Office Supplies,Paper,Paper Model 2,1449.82,8,0.1,92.32
ORD-10137,CUST-4962,Vincent Parker,Corporate,West,2020-05-17,2020-05-19,Office Supplies,Paper,Paper Model 3,284.75,7,0.5,-4.06
ORD-10138,CUST-7183,James Copeland,Home Office,East,2020-05-18,2020-05-20,Office Supplies,Paper,Paper Model 4,26.85,6,0.5,1.57
ORD-10139,CUST-2236,Craig Clark,Consumer,East,2020-05-19,2020-05-21,Office Supplies,Paper,Paper Model 5,635.69,3,0.1,43.55
ORD-10140,CUST-5011,Miss Amy Mason,Home Office,Central,2020-05-20,2020-05-22,Office Supplies,Labels,Labels Model 1,624.01,1,0.3,86.5
ORD-10141,CUST-1129,Sarah Kelly,Home Office,Central,2020-05-21,2020-05-23,Office Supplies,Labels,Labels Model 2,1187.74,8,0.5,47.98
ORD-10142,CUST-9256,Gregory Davis,Corporate,South,2020-05-22,2020-05-24,Office Supplies,Labels,Labels Model 3,664.34,8,0.3,54.94
ORD-10143,CUST-8879,Shannon Johnson,Consumer,West,2020-05-23,2020-05-25,Office Supplies,Labels,Labels Model 4,358.43,7,0.3,-2.54
ORD-10144,CUST-9213,Karla Hicks,Consumer,West,2020-05-24,2020-05-26,Office Supplies,Labels,Labels Model 5,1909.48,5,0.2,36.45
ORD-10145,CUST-2834,Brandon Tran,Home Office,West,2020-05-25,2020-05-27,Technology,Phones,Phones Model 1,1315.13,3,0.0,17.32
ORD-10146,CUST-7826,Christopher James,Consumer,South,2020-05-26,2020-05-28,Technology,Phones,Phones Model 2,658.37,7,0.1,15.52
ORD-10147,CUST-5139,Darren Perez,Corporate,South,2020-05-27,2020-05-29,Technology,Phones,Phones Model 3,1167.98,7,0.5,74.08
ORD-10148,CUST-7153,Caroline Thompson,Home Office,East,2020-05-28,2020-05-30,Technology,Phones,Phones Model 4,1108.1,2,0.1,236.2
ORD-10149,CUST-5458,Peter Parks,Corporate,East,2020-05-29,2020-05-31,Technology,Phones,Phones Model 5,1607.97,9,0.5,0.59
ORD-10150,CUST-8043,Aaron Chavez,Consumer,Central,2020-05-30,2020-06-01,Technology,Accessories,Accessories Model 1,1497.84,2,0.2,96.07
ORD-10151,CUST-2142,Julia May,Consumer,Central,2020-05-31,2020-06-02,Technology,Accessories,Accessories Model 2,431.31,6,0.2,18.33
ORD-10152,CUST-9729,Tom Phillips,Corporate,South,2020-06-01,2020-06-03,Technology,Accessories,Accessories Model 3,991.22,3,0.3,66.76
ORD-10153,CUST-6020,Elizabeth Hunt,Home Office,East,2020-06-02,2020-06-04,Technology,Accessories,Accessories Model 4,724.5,1,0.0,-52.38
ORD-10154,CUST-1638,David Gutierrez,Consumer,West,2020-06-03,2020-06-05,Technology,Accessories,Accessories Model 5,406.36,3,0.0,19.44
ORD-10155,CUST-8349,Sean Henry,Consumer,Central,2020-06-04,2020-06-06,Technology,Copiers,Copiers Model 1,1651.0,1,0.3,130.97
ORD-10156,CUST-5222,Michelle Cooper,Home Office,East,2020-06-05,2020-06-07,Technology,Copiers,Copiers Model 2,96.16,1,0.2,2.8
ORD-10157,CUST-5370,Michael Anderson,Corporate,East,2020-06-06,2020-06-08,Technology,Copiers,Copiers Model 3,468.69,7,0.2,20.17
ORD-10158,CUST-7151,Nicole Kidd,Home Office,South,2020-06-07,2020-06-09,Technology,Copiers,Copiers Model 4,1689.86,2,0.2,192.44
ORD-10159,CUST-6643,Anna Lewis,Corporate,East,2020-06-08,2020-06-10,Technology,Copiers,Copiers Model 5,1417.4,4,0.5,62.52
ORD-10160,CUST-6201,Bethany Chandler,Consumer,East,2020-06-09,2020-06-11,Technology,Machines,Machines Model 1,874.76,1,0.1,40.54
ORD-10161,CUST-5338,Marissa Thomas,Home Office,South,2020-06-10,2020-06-12,Technology,Machines,Machines Model 2,481.15,4,0.2,39.07
ORD-10162,CUST-6313,Michael Reynolds,Consumer,West,2020-06-11,2020-06-13,Technology,Machines,Machines Model 3,682.51,5,0.1,65.51
ORD-10163,CUST-8826,Mr. Jeffrey Cole PhD,Corporate,East,2020-06-12,2020-06-14,Technology,Machines,Machines Model 4,1444.84,5,0.1,-103.58
ORD-10164,CUST-6078,Melissa Miller,Home Office,West,2020-06-13,2020-06-15,Technology,Machines,Machines Model 5,1430.23,1,0.1,95.93
ORD-10165,CUST-3271,Robin Roth,Home Office,South,2020-06-14,2020-06-16,Furniture,Bookcases,Bookcases Model 1,654.54,8,0.1,39.13
ORD-10166,CUST-2133,Megan Odonnell,Home Office,Central,2020-06-15,2020-06-17,Furniture,Bookcases,Bookcases Model 2,1611.53,3,0.0,-48.63
ORD-10167,CUST-8024,Kathryn Lawson,Consumer,South,2020-06-16,2020-06-18,Furniture,Bookcases,Bookcases Model 3,1492.4,9,0.0,90.24
ORD-10168,CUST-1633,Becky Mckenzie,Home Office,East,2020-06-17,2020-06-19,Furniture,Bookcases,Bookcases Model 4,821.04,6,0.3,51.73
ORD-10169,CUST-5169,Joseph Sparks,Corporate,East,2020-06-18,2020-06-20,Furniture,Bookcases,Bookcases Model 5,1505.79,3,0.5,12.98
ORD-10170,CUST-2133,Valerie Strickland,Consumer,West,2020-06-19,2020-06-21,Furniture,Chairs,Chairs Model 1,188.05,2,0.0,7.97
ORD-10171,CUST-4924,Patricia Ortiz,Corporate,West,2020-06-20,2020-06-22,Furniture,Chairs,Chairs Model 2,801.76,2,0.0,77.18
ORD-10172,CUST-5971,Anthony Murphy,Home Office,East,2020-06-21,2020-06-23,Furniture,Chairs,Chairs Model 3,1455.19,6,0.0,86.1
ORD-10173,CUST-8270,David Barton,Consumer,West,2020-06-22,2020-06-24,Furniture,Chairs,Chairs Model 4,655.43,9,0.2,65.04
ORD-10174,CUST-1912,Julie Vincent,Corporate,West,2020-06-23,2020-06-25,Furniture,Chairs,Chairs Model 5,200.05,1,0.5,-8.87
ORD-10175,CUST-9558,Kenneth Nielsen,Corporate,South,2020-06-24,2020-06-26,Furniture,Tables,Tables Model 1,335.1,7,0.5,21.27
ORD-10176,CUST-4394,Courtney Webb,Corporate,West,2020-06-25,2020-06-27,Furniture,Tables,Tables Model 2,1198.22,2,0.1,-0.41
ORD-10177,CUST-2175,Margaret Rivera,Consumer,South,2020-06-26,2020-06-28,Furniture,Tables,Tables Model 3,1986.4,8,0.0,-43.29
ORD-10178,CUST-7160,Kayla Higgins,Corporate,East,2020-06-27,2020-06-29,Furniture,Tables,Tables Model 4,1865.28,4,0.2,127.94
ORD-10179,CUST-7026,Brian Hamilton,Consumer,East,2020-06-28,2020-06-30,Furniture,Tables,Tables Model 5,768.71,3,0.1,36.59
ORD-10180,CUST-3969,Kevin Lyons,Consumer,West,2020-06-29,2020-07-01,Office Supplies,Binders,Binders Model 1,387.72,6,0.2,18.86
